Labels,MFCC Features
0,[-707.69885 -705.6609  -689.7733  ...    0.         0.         0.     ]
0,[-714.1074  -708.5108  -689.36615 ...    0.         0.         0.     ]
0,[-693.6974  -686.88916 -665.25134 ...    0.         0.         0.     ]
0,[-601.09076 -601.09076 -495.70514 ...    0.         0.         0.     ]
0,[-588.7752 -588.7752 -540.2225 ...    0.        0.        0.    ]
0,[-623.48694 -623.48694 -603.7286  ...    0.         0.         0.     ]
0,[-549.9109  -549.9109  -496.92667 ...    0.         0.         0.     ]
0,[-609.28394 -609.28394 -549.09827 ...    0.         0.         0.     ]
0,[-583.2815 -583.2815 -565.4793 ...    0.        0.        0.    ]
0,[-571.55255 -571.55255 -545.66113 ...    0.         0.         0.     ]
0,[-455.87817 -429.47638 -427.3226  ...    0.         0.         0.     ]
0,[-627.7577  -624.06366 -645.31116 ...    0.         0.         0.     ]
0,[-483.36914 -457.414   -460.55667 ...    0.         0.         0.     ]
0,[-443.59747 -415.2841  -422.0381  ...    0.         0.         0.     ]
0,[-538.3924  -477.0508  -451.97812 ...    0.         0.         0.     ]
0,[-624.62225 -622.29956 -623.23566 ...    0.         0.         0.     ]
0,[-640.98254 -640.98254 -640.98254 ...    0.         0.         0.     ]
0,[-596.7898 -596.7898 -596.7898 ...    0.        0.        0.    ]
0,[-586.7429 -586.7429 -586.7429 ...    0.        0.        0.    ]
0,[-639.9444 -639.9444 -639.9444 ...    0.        0.        0.    ]
0,[-612.19824 -612.19824 -612.19824 ...    0.         0.         0.     ]
0,[-637.0617 -637.0617 -637.0617 ...    0.        0.        0.    ]
0,[-592.4098 -592.4098 -592.4098 ...    0.        0.        0.    ]
0,[-279.01587 -275.00092 -315.91617 ...    0.         0.         0.     ]
0,[-355.29022 -330.7849  -274.10034 ...    0.         0.         0.     ]
0,[-246.72058 -247.58893 -301.14508 ...    0.         0.         0.     ]
0,[-360.63187 -334.98172 -346.62076 ...    0.         0.         0.     ]
0,[-404.7423  -383.93423 -336.37677 ...    0.         0.         0.     ]
0,[-402.04962 -382.44427 -364.74374 ...    0.         0.         0.     ]
0,[-574.39606 -574.39606 -551.2019  ...    0.         0.         0.     ]
0,[-598.4611 -598.4611 -598.4611 ...    0.        0.        0.    ]
0,[-613.79144 -613.79144 -613.79144 ...    0.         0.         0.     ]
0,[-624.0282 -624.0282 -624.0282 ...    0.        0.        0.    ]
0,[-624.304 -624.304 -624.304 ...    0.       0.       0.   ]
0,[-629.6547 -629.6547 -629.6547 ...    0.        0.        0.    ]
0,[-608.78424 -608.78424 -608.78424 ...    0.         0.         0.     ]
0,[-676.9834 -676.9834 -676.9834 ...    0.        0.        0.    ]
0,[-638.6428 -638.6428 -638.6428 ...    0.        0.        0.    ]
0,[-660.2273 -660.2273 -660.2273 ...    0.        0.        0.    ]
0,[-631.1842 -631.1842 -631.1842 ...    0.        0.        0.    ]
0,[-627.4671 -627.4671 -627.4671 ...    0.        0.        0.    ]
0,[-640.98254 -640.98254 -640.98254 ...    0.         0.         0.     ]
0,[-596.7898 -596.7898 -596.7898 ...    0.        0.        0.    ]
0,[-586.7429 -586.7429 -586.7429 ...    0.        0.        0.    ]
0,[-639.9444 -639.9444 -639.9444 ...    0.        0.        0.    ]
0,[-637.0617 -637.0617 -637.0617 ...    0.        0.        0.    ]
0,[-592.4098 -592.4098 -592.4098 ...    0.        0.        0.    ]
0,[-607.5469  -554.02374 -392.59845 ...    0.         0.         0.     ]
0,[-612.185   -612.185   -611.76166 ...    0.         0.         0.     ]
0,[-627.2115  -627.2115  -625.71765 ...    0.         0.         0.     ]
0,[-647.8496 -647.8496 -646.0165 ...    0.        0.        0.    ]
0,[-626.2714  -626.2714  -616.86694 ...    0.         0.         0.     ]
0,[-712.0106 -712.0106 -701.9606 ...    0.        0.        0.    ]
0,[-660.0723  -660.051   -653.50323 ...    0.         0.         0.     ]
0,[-652.8873 -652.8873 -648.6921 ...    0.        0.        0.    ]
0,[-675.81366 -643.6236  -540.1752  ...    0.         0.         0.     ]
0,[-665.511  -659.7956 -561.546  ...    0.        0.        0.    ]
0,[-681.4715 -612.4485 -522.9318 ...    0.        0.        0.    ]
0,[-554.48914 -554.48914 -554.48914 ...    0.         0.         0.     ]
0,[-521.3171  -486.01654 -473.02002 ...    0.         0.         0.     ]
0,[-464.1997  -439.4319  -428.71326 ...    0.         0.         0.     ]
0,[-482.0449  -452.93796 -443.09772 ...    0.         0.         0.     ]
0,[-502.17938 -470.60855 -458.7576  ...    0.         0.         0.     ]
0,[-531.1699 -498.1193 -490.4978 ...    0.        0.        0.    ]
0,[-520.4002  -495.28763 -492.33588 ...    0.         0.         0.     ]
0,[-735.90594 -735.63275 -734.60187 ...    0.         0.         0.     ]
0,[-720.5118 -720.4149 -720.1597 ...    0.        0.        0.    ]
0,[-742.85547 -740.8181  -740.72156 ...    0.         0.         0.     ]
0,[-754.2053  -752.71265 -752.2444  ...    0.         0.         0.     ]
0,[-739.537   -738.2756  -735.88666 ...    0.         0.         0.     ]
0,[-726.8809 -726.2861 -726.269  ...    0.        0.        0.    ]
0,[-727.7227 -727.4394 -727.3027 ...    0.        0.        0.    ]
0,[-559.9243  -549.7034  -475.46878 ...    0.         0.         0.     ]
0,[-549.1685  -549.1685  -545.81287 ...    0.         0.         0.     ]
0,[-538.81464 -538.81464 -536.34125 ...    0.         0.         0.     ]
0,[-544.8925 -544.8925 -544.7229 ...    0.        0.        0.    ]
0,[-489.5148 -489.5148 -489.5148 ...    0.        0.        0.    ]
0,[-543.2655 -543.2655 -540.8317 ...    0.        0.        0.    ]
0,[-606.32825 -601.1033  -575.6264  ...    0.         0.         0.     ]
0,[-596.34393 -593.1577  -577.913   ...    0.         0.         0.     ]
0,[-602.0631  -597.70624 -581.6624  ...    0.         0.         0.     ]
0,[-610.6086  -605.09973 -586.9751  ...    0.         0.         0.     ]
0,[-596.5663 -591.0935 -576.2833 ...    0.        0.        0.    ]
0,[-614.4492  -609.71893 -587.1912  ...    0.         0.         0.     ]
0,[-744.91144 -711.32367 -666.42566 ...    0.         0.         0.     ]
0,[-832.95746 -770.03375 -691.8192  ...    0.         0.         0.     ]
0,[-800.99536 -744.23395 -671.5501  ...    0.         0.         0.     ]
0,[-810.9622 -736.4026 -660.7614 ...    0.        0.        0.    ]
0,[-838.12463 -732.97986 -634.0867  ...    0.         0.         0.     ]
0,[-453.7817  -419.90005 -412.29233 ...    0.         0.         0.     ]
0,[-476.8968  -422.61667 -416.89597 ...    0.         0.         0.     ]
0,[-568.97284 -490.84448 -396.38345 ...    0.         0.         0.     ]
0,[-498.57126 -444.39783 -418.90695 ...    0.         0.         0.     ]
0,[-530.1574  -504.5953  -494.34775 ...    0.         0.         0.     ]
0,[-519.21655 -519.21655 -519.21655 ...    0.         0.         0.     ]
0,[-488.87238 -488.87238 -488.87238 ...    0.         0.         0.     ]
0,[-499.48245 -499.48245 -499.48245 ...    0.         0.         0.     ]
0,[-543.4308 -543.4308 -543.4308 ...    0.        0.        0.    ]
0,[-545.1979 -545.1979 -545.1979 ...    0.        0.        0.    ]
0,[-506.46246 -506.46246 -506.46246 ...    0.         0.         0.     ]
0,[-495.85956 -495.85956 -495.85956 ...    0.         0.         0.     ]
0,[-636.8624 -636.8624 -636.8624 ...    0.        0.        0.    ]
0,[-655.7338 -655.7338 -655.7338 ...    0.        0.        0.    ]
0,[-630.5188 -630.5188 -630.5188 ...    0.        0.        0.    ]
0,[-618.43463 -618.43463 -618.43463 ...    0.         0.         0.     ]
0,[-643.66034 -643.66034 -643.66034 ...    0.         0.         0.     ]
0,[-623.1627 -623.1627 -623.1627 ...    0.        0.        0.    ]
0,[-633.9451 -633.9451 -633.9451 ...    0.        0.        0.    ]
0,[-564.70337 -468.9037  -403.18457 ...    0.         0.         0.     ]
0,[-557.4458 -474.7886 -408.0972 ...    0.        0.        0.    ]
0,[-564.90656 -471.6478  -405.95334 ...    0.         0.         0.     ]
0,[-560.4212  -477.5027  -411.84512 ...    0.         0.         0.     ]
0,[-386.3097  -401.99994 -428.73013 ...    0.         0.         0.     ]
0,[-571.4436  -472.2907  -402.59183 ...    0.         0.         0.     ]
0,[-493.08936 -495.8361  -532.27026 ...    0.         0.         0.     ]
0,[-512.52985 -512.13055 -531.3378  ...    0.         0.         0.     ]
0,[-640.5307 -639.2233 -638.3335 ...    0.        0.        0.    ]
0,[-593.9231 -593.9231 -593.9231 ...    0.        0.        0.    ]
0,[-585.3185 -585.3185 -585.3185 ...    0.        0.        0.    ]
0,[-576.9962 -576.9962 -576.9962 ...    0.        0.        0.    ]
0,[-575.4717 -575.4717 -575.4717 ...    0.        0.        0.    ]
0,[-589.81506 -589.81506 -589.81506 ...    0.         0.         0.     ]
0,[-597.4321 -597.4321 -597.4321 ...    0.        0.        0.    ]
0,[-578.6479  -574.33636 -459.49408 ...    0.         0.         0.     ]
0,[-580.35126 -388.86005 -264.4765  ...    0.         0.         0.     ]
0,[-518.3889  -516.26733 -491.307   ...    0.         0.         0.     ]
0,[-577.14813 -566.219   -521.4957  ...    0.         0.         0.     ]
0,[-588.16534 -509.30167 -373.31    ...    0.         0.         0.     ]
0,[-560.4539  -557.77136 -527.9383  ...    0.         0.         0.     ]
0,[-533.12524 -515.0826  -507.17117 ...    0.         0.         0.     ]
0,[-535.3518  -518.80176 -488.22253 ...    0.         0.         0.     ]
0,[-525.38135 -507.08618 -502.41577 ...    0.         0.         0.     ]
0,[-522.77734 -506.61664 -500.01953 ...    0.         0.         0.     ]
0,[-530.7515  -509.32956 -493.90906 ...    0.         0.         0.     ]
0,[-623.6464  -581.03156 -536.75946 ...    0.         0.         0.     ]
0,[-633.39703 -594.36646 -539.7574  ...    0.         0.         0.     ]
0,[-613.8195  -576.6535  -531.32477 ...    0.         0.         0.     ]
0,[-636.5668 -590.6847 -511.2237 ...    0.        0.        0.    ]
0,[-612.98737 -597.53046 -552.44635 ...    0.         0.         0.     ]
0,[-621.71655 -578.85364 -537.6058  ...    0.         0.         0.     ]
0,[-734.1603 -653.2478 -616.8493 ...    0.        0.        0.    ]
0,[-764.84467 -664.3232  -622.1685  ...    0.         0.         0.     ]
0,[-741.00476 -657.75995 -624.8145  ...    0.         0.         0.     ]
0,[-633.0758 -577.2264 -594.5504 ...    0.        0.        0.    ]
0,[-623.6194 -558.4894 -570.0735 ...    0.        0.        0.    ]
0,[-719.73535 -640.58563 -614.2278  ...    0.         0.         0.     ]
0,[-738.32635 -636.4661  -598.3354  ...    0.         0.         0.     ]
0,[-606.6301 -606.6301 -606.6301 ...    0.        0.        0.    ]
0,[-632.31323 -632.31323 -632.31323 ...    0.         0.         0.     ]
0,[-604.8958 -604.8958 -604.8958 ...    0.        0.        0.    ]
0,[-587.3832 -587.3832 -587.3832 ...    0.        0.        0.    ]
0,[-612.822 -612.822 -612.822 ...    0.       0.       0.   ]
0,[-699.5523 -699.5523 -699.5523 ...    0.        0.        0.    ]
0,[-691.26733 -691.26733 -691.26733 ...    0.         0.         0.     ]
0,[-681.03217 -681.03217 -681.03217 ...    0.         0.         0.     ]
0,[-675.5373 -675.5373 -675.5373 ...    0.        0.        0.    ]
0,[-698.16125 -698.16125 -698.16125 ...    0.         0.         0.     ]
0,[-682.9286 -682.9286 -682.9286 ...    0.        0.        0.    ]
0,[-697.233 -697.233 -697.233 ...    0.       0.       0.   ]
0,[-637.37427 -637.37427 -637.37427 ...    0.         0.         0.     ]
0,[-677.2259  -677.2259  -676.66675 ...    0.         0.         0.     ]
0,[-685.9392 -685.9392 -685.9392 ...    0.        0.        0.    ]
0,[-644.36053 -644.36053 -644.36053 ...    0.         0.         0.     ]
0,[-689.19806 -689.19806 -687.9535  ...    0.         0.         0.     ]
0,[-662.27124 -662.27124 -657.05707 ...    0.         0.         0.     ]
0,[-680.9392 -680.9392 -680.7867 ...    0.        0.        0.    ]
0,[-705.5446 -705.5446 -705.5446 ...    0.        0.        0.    ]
0,[-717.38165 -717.38165 -717.38165 ...    0.         0.         0.     ]
0,[-742.3037 -742.3037 -742.3037 ...    0.        0.        0.    ]
0,[-722.2675 -722.2675 -722.2675 ...    0.        0.        0.    ]
0,[-680.67566 -680.67566 -680.67566 ...    0.         0.         0.     ]
0,[-699.39197 -699.39197 -699.39197 ...    0.         0.         0.     ]
0,[-622.86316 -622.86316 -622.86316 ...    0.         0.         0.     ]
0,[-633.7455 -633.7455 -633.7455 ...    0.        0.        0.    ]
0,[-645.3708 -645.3708 -645.3708 ...    0.        0.        0.    ]
0,[-626.0489 -626.0489 -626.0489 ...    0.        0.        0.    ]
0,[-779.5567 -774.8942 -770.4205 ...    0.        0.        0.    ]
0,[-776.0735 -776.0735 -776.0735 ...    0.        0.        0.    ]
0,[-786.4814 -786.4814 -786.4814 ...    0.        0.        0.    ]
0,[-790.28485 -790.28485 -790.28485 ...    0.         0.         0.     ]
0,[-395.78394 -365.4632  -381.8095  ...    0.         0.         0.     ]
0,[-448.01285 -401.5161  -356.9021  ...    0.         0.         0.     ]
0,[-402.5447  -368.55057 -371.61038 ...    0.         0.         0.     ]
0,[-450.34833 -399.12076 -383.93683 ...    0.         0.         0.     ]
0,[-359.39026 -311.70844 -330.65775 ...    0.         0.         0.     ]
0,[-414.9092  -383.98764 -379.46262 ...    0.         0.         0.     ]
0,[-410.65045 -383.75958 -370.97867 ...    0.         0.         0.     ]
0,[-425.87323 -401.19702 -389.19046 ...    0.         0.         0.     ]
0,[-435.0729  -395.04074 -380.00266 ...    0.         0.         0.     ]
0,[-870.13745 -870.13745 -870.13745 ...    0.         0.         0.     ]
0,[-874.9052 -874.9052 -874.9052 ...    0.        0.        0.    ]
0,[-908.5016 -908.5016 -908.5016 ...    0.        0.        0.    ]
0,[-898.3782 -898.3782 -898.3782 ...    0.        0.        0.    ]
0,[-890.46967 -890.46967 -890.46967 ...    0.         0.         0.     ]
0,[-860.769 -860.769 -860.769 ...    0.       0.       0.   ]
0,[-664.9766  -628.3702  -629.89996 ...    0.         0.         0.     ]
0,[-665.46906 -627.95013 -621.44653 ...    0.         0.         0.     ]
0,[-661.6925  -630.4764  -644.36786 ...    0.         0.         0.     ]
0,[-670.01105 -639.3877  -600.42444 ...    0.         0.         0.     ]
0,[-672.5724  -635.91736 -645.2288  ...    0.         0.         0.     ]
0,[-666.60876 -624.86566 -638.40497 ...    0.         0.         0.     ]
0,[-681.1214  -680.75574 -668.5637  ...    0.         0.         0.     ]
0,[-682.43134 -680.1319  -669.9159  ...    0.         0.         0.     ]
0,[-666.62274 -664.0752  -654.5646  ...    0.         0.         0.     ]
0,[-671.54425 -671.54425 -651.2272  ...    0.         0.         0.     ]
0,[-638.3605  -637.37964 -628.2324  ...    0.         0.         0.     ]
0,[-648.10406 -647.412   -635.4633  ...    0.         0.         0.     ]
0,[-669.9133  -668.6426  -654.81256 ...    0.         0.         0.     ]
0,[-551.7714 -551.7714 -551.7714 ...    0.        0.        0.    ]
0,[-571.4967 -571.4967 -571.4967 ...    0.        0.        0.    ]
0,[-545.70575 -545.70575 -545.70575 ...    0.         0.         0.     ]
0,[-576.7802 -576.7802 -576.7802 ...    0.        0.        0.    ]
0,[-548.8603 -548.8603 -548.8603 ...    0.        0.        0.    ]
0,[-535.5892 -535.5892 -535.5892 ...    0.        0.        0.    ]
0,[-538.1623 -538.1623 -538.1623 ...    0.        0.        0.    ]
0,[-750.9207  -611.4777  -527.35455 ...    0.         0.         0.     ]
0,[-747.0314  -607.54205 -520.1425  ...    0.         0.         0.     ]
0,[-728.64557 -613.67303 -526.8631  ...    0.         0.         0.     ]
0,[-759.133   -613.2182  -532.64777 ...    0.         0.         0.     ]
0,[-711.7458 -616.637  -521.7297 ...    0.        0.        0.    ]
0,[-719.6876 -609.4535 -514.2559 ...    0.        0.        0.    ]
0,[-669.14795 -638.35394 -619.7146  ...    0.         0.         0.     ]
0,[-673.3929  -644.55676 -632.14014 ...    0.         0.         0.     ]
0,[-675.8465  -642.93774 -632.2138  ...    0.         0.         0.     ]
0,[-658.768  -624.5505 -612.9272 ...    0.        0.        0.    ]
0,[-688.3914 -662.7083 -642.2652 ...    0.        0.        0.    ]
0,[-649.6004  -620.40857 -607.28156 ...    0.         0.         0.     ]
0,[-586.07666 -434.43225 -418.57886 ...    0.         0.         0.     ]
0,[-562.83124 -425.58435 -417.68732 ...    0.         0.         0.     ]
0,[-581.9496  -439.3732  -414.09415 ...    0.         0.         0.     ]
0,[-592.74164 -433.4256  -417.85336 ...    0.         0.         0.     ]
0,[-676.3601  -502.07196 -440.36044 ...    0.         0.         0.     ]
0,[-627.1328  -476.8567  -434.82846 ...    0.         0.         0.     ]
0,[-637.5434  -470.853   -435.61386 ...    0.         0.         0.     ]
0,[-706.9783 -705.4963 -685.7798 ...    0.        0.        0.    ]
0,[-725.50854 -722.63983 -700.8892  ...    0.         0.         0.     ]
0,[-728.53156 -727.3822  -704.92676 ...    0.         0.         0.     ]
0,[-713.80054 -712.3262  -699.2113  ...    0.         0.         0.     ]
0,[-685.6025  -684.49536 -672.8732  ...    0.         0.         0.     ]
0,[-715.4831  -713.0882  -697.91565 ...    0.         0.         0.     ]
0,[-709.8303 -709.6732 -692.8128 ...    0.        0.        0.    ]
0,[-602.0681 -602.0681 -602.0681 ...    0.        0.        0.    ]
0,[-626.042 -626.042 -626.042 ...    0.       0.       0.   ]
0,[-594.7164 -594.7164 -594.7164 ...    0.        0.        0.    ]
0,[-615.9019 -615.9019 -615.9019 ...    0.        0.        0.    ]
0,[-622.384 -622.384 -622.384 ...    0.       0.       0.   ]
0,[-601.8436 -601.8436 -601.8436 ...    0.        0.        0.    ]
0,[-600.7509 -600.7509 -600.7509 ...    0.        0.        0.    ]
0,[-365.5969  -325.52905 -311.2255  ...    0.         0.         0.     ]
0,[-357.29294 -321.45157 -311.1538  ...    0.         0.         0.     ]
0,[-361.09537 -328.4863  -313.93158 ...    0.         0.         0.     ]
0,[-335.44788 -298.08707 -283.03314 ...    0.         0.         0.     ]
0,[-348.98123 -312.6793  -300.02448 ...    0.         0.         0.     ]
0,[-604.81946 -509.87827 -485.03528 ...    0.         0.         0.     ]
0,[-591.1391  -500.56366 -480.44272 ...    0.         0.         0.     ]
0,[-571.1136  -498.1299  -493.20456 ...    0.         0.         0.     ]
0,[-464.62555 -399.72745 -419.932   ...    0.         0.         0.     ]
0,[-615.3124 -523.2344 -497.5217 ...    0.        0.        0.    ]
0,[-524.64734 -524.64734 -524.64734 ...    0.         0.         0.     ]
0,[-592.21344 -592.21344 -592.21344 ...    0.         0.         0.     ]
0,[-571.8707 -571.8707 -571.8707 ...    0.        0.        0.    ]
0,[-533.97034 -533.97034 -533.97034 ...    0.         0.         0.     ]
0,[-589.8602 -589.8602 -589.8602 ...    0.        0.        0.    ]
0,[-550.53876 -550.53876 -550.53876 ...    0.         0.         0.     ]
0,[-575.2062 -575.2062 -575.2062 ...    0.        0.        0.    ]
0,[-582.863 -582.863 -582.863 ...    0.       0.       0.   ]
0,[-585.071 -585.071 -585.071 ...    0.       0.       0.   ]
0,[-592.43713 -592.43713 -592.43713 ...    0.         0.         0.     ]
0,[-607.99384 -607.99384 -607.99384 ...    0.         0.         0.     ]
0,[-535.79614 -465.52338 -463.0807  ...    0.         0.         0.     ]
0,[-531.2352  -482.01794 -472.11676 ...    0.         0.         0.     ]
0,"[-118.22703   -53.26937   -94.412254 ...    0.          0.
    0.      ]"
0,[-553.05524 -474.27417 -464.99637 ...    0.         0.         0.     ]
0,[-693.6675 -693.6675 -693.6675 ...    0.        0.        0.    ]
0,[-664.42865 -664.42865 -664.42865 ...    0.         0.         0.     ]
0,[-662.2504 -662.2504 -662.2504 ...    0.        0.        0.    ]
0,[-692.841 -692.841 -692.841 ...    0.       0.       0.   ]
0,[-674.1615 -674.1615 -674.1615 ...    0.        0.        0.    ]
0,[-658.0111 -658.0111 -658.0111 ...    0.        0.        0.    ]
0,[-556.16614 -524.79456 -505.17117 ...    0.         0.         0.     ]
0,[-543.1082  -468.76828 -390.2423  ...    0.         0.         0.     ]
0,[-523.8633  -465.90585 -349.68066 ...    0.         0.         0.     ]
0,[-481.977   -452.39252 -404.11438 ...    0.         0.         0.     ]
0,[-557.2614  -515.6205  -458.16858 ...    0.         0.         0.     ]
0,[-501.2408  -459.5606  -404.27277 ...    0.         0.         0.     ]
0,[-610.9637 -610.9637 -610.9637 ...    0.        0.        0.    ]
0,[-625.6544 -625.6544 -625.6544 ...    0.        0.        0.    ]
0,[-640.2012 -640.2012 -640.2012 ...    0.        0.        0.    ]
0,[-616.5244 -616.5244 -616.5244 ...    0.        0.        0.    ]
0,[-643.2462 -643.2462 -643.2462 ...    0.        0.        0.    ]
0,[-544.4554  -511.5214  -502.02942 ...    0.         0.         0.     ]
0,[-505.9872  -456.59857 -381.3544  ...    0.         0.         0.     ]
0,[-539.13696 -512.2981  -460.997   ...    0.         0.         0.     ]
0,[-540.55457 -514.357   -508.2496  ...    0.         0.         0.     ]
0,[-542.4983  -518.8311  -512.32745 ...    0.         0.         0.     ]
0,[-528.91675 -499.3964  -494.31915 ...    0.         0.         0.     ]
0,[-578.5148 -578.5148 -578.5148 ...    0.        0.        0.    ]
0,[-563.3238 -563.3238 -563.3238 ...    0.        0.        0.    ]
0,[-573.3036 -573.3036 -573.3036 ...    0.        0.        0.    ]
0,[-559.20746 -559.20746 -559.20746 ...    0.         0.         0.     ]
0,[-552.6562 -552.6562 -552.6562 ...    0.        0.        0.    ]
0,[-567.77856 -567.77856 -567.77856 ...    0.         0.         0.     ]
0,[-503.25406 -503.25406 -503.25406 ...    0.         0.         0.     ]
0,[-540.1345 -540.1345 -540.1345 ...    0.        0.        0.    ]
0,[-530.311 -530.311 -530.311 ...    0.       0.       0.   ]
0,[-565.28406 -565.28406 -565.28406 ...    0.         0.         0.     ]
0,[-562.22687 -562.22687 -562.22687 ...    0.         0.         0.     ]
0,[-575.9867 -575.9867 -575.9867 ...    0.        0.        0.    ]
0,[-690.7096  -682.55945 -678.80566 ...    0.         0.         0.     ]
0,[-668.6572 -663.5591 -660.8944 ...    0.        0.        0.    ]
0,[-706.98816 -688.94855 -688.912   ...    0.         0.         0.     ]
0,[-703.1479  -697.82336 -699.2646  ...    0.         0.         0.     ]
0,[-726.6936 -715.6032 -708.5785 ...    0.        0.        0.    ]
0,[-683.3915 -678.3809 -677.1573 ...    0.        0.        0.    ]
